file_name,start_time,end_time,turn_name,text,emotion
Ses01M_impro03_,121.83,125.14,M020," Yeah, like a big like- A wedding on the beach, that would be nice.",excited
Ses01M_impro03_,123.96,125.74,F020," Yeah, at night.",excited
Ses01M_impro03_,125.32,134.0075,M021, And then we can honeymoon.  I want to go tropical though like Bahamas- --or like Tahiti or something. I just want to like beach and like drink.,neutral
Ses01M_impro03_,128.06,131.59,F021," Oh yeah, absolutely, absolutely.",neutral
Ses01M_impro03_,132.16,136.15,F022, How excitediting.  You should make her bring all your friends too.,excited
Ses01M_impro03_,135.66,145.44,M022, I'll make her pay for that.  I hear she's like totally wealthy. She's like royalty- --or something like and- --whatever like removed or something but yeah.,excited
Ses01M_impro03_,136.29,144.07,F023, [GARBAGE] She's got to be loaded.  fifty thousand dollars.  That's incredible.,excited
Ses01M_impro03_,144.61,146.41,F024, Incredible.,excited
Ses01M_impro03_,145.97,150.51,M023, I'm going to marry a blue blood. [LAUGHTER],excited
Ses01M_impro03_,147.17,150.845,F025," you're a lucky, lucky, lucky man.",excited
Ses01M_impro03_,150.58,152.04,M024, Will you help me plan?,excited
Ses01M_impro03_,151.26,153.9075,F026," Oh, totally. Yeah.",excited
Ses01M_impro03_,152.1,153.25,M025, Good.,xxxx
Ses01M_impro04_,9.0256,11.695,F000, You seem kind of down.,neutral
Ses01M_impro04_,11.5885,13.5675,M000, I'm just mad.,xxx
Ses01M_impro04_,13.372,15.225,F001, How come?,xxx
Ses01M_impro04_,15.05,19.23,M001, It's--I've been trying to find this job I can't get any job.,Frustration
Ses01M_impro04_,19.36,21.4936,M002, It's not fair.,Frustration
Ses01M_impro04_,21.3952,23.2492,F002, What do you mean?,neutral
Ses01M_impro04_,23.0031,31.9779,M003," I mean I've been looking for a job for like three years and I can't get a job.  I mean like, it's America, right?  I should be able to get a job.",Frustration
Ses01M_impro04_,31.256,34.4725,F003, There's a lot of people looking for jobs.,neutral
Ses01M_impro04_,34.1437,46.84,M004," I guess.  But three years?  I mean, I like--I went to college even, I mean I didn't finish but I went for like a little bit.  It's not fair, I don't know.",Frustration
Ses01M_impro04_,47.75,50.5,F004," I don't know, I mean, I just don't think...",neutral
Ses01M_impro04_,49.91,63.66,M005," I mean I've been sending out my resumes and doing everything I can do but nothing is happening.  You know, it's like I can't and I can't keep living on loans anymore like this.  I'm going to--I mean eventually I'm going to have to pay it back. I'm just kind of freaking out, I don't know.",Frustration
Ses01M_impro04_,63.33,66.63,F005, Did you ever think it might be your attitude that's...,neutral
Ses01M_impro04_,65.49,67.92,M006," What's my--like what do you mean ""my attitude""?",xxx
Ses01M_impro04_,67.45,74.04,F006," I don't know just sometimes you get kind of... No, I'm not saying that.  I just--",neutral
Ses01M_impro04_,69.79,71.78,M007, Do I have an attitude problem?,xxx
Ses01M_impro04_,76.39,80.53,M008," No, well maybe it's because I'm like Frustrationstrated 'cause I can't get a job, you know.",Frustration
Ses01M_impro04_,74.21,77.53,F007, ...has anyone ever just said anything like that to you before?,neutral
Ses01M_impro04_,80.55,86.09,M009," Like it's really hard to like shake that off when you go into like audition a room or whatever, you know what I mean?",Frustration
Ses01M_impro04_,84.99,87.2706,F008," Right, sure.",neutral
Ses01M_impro04_,87.29,91.63,F009," But I mean you kind of got to, you got to fake it 'til you feel it, right?",neutral
Ses01M_impro04_,91.06,95.765,M010," I guess I just getting really hard to fake, you know.",Frustration
Ses01M_impro04_,95.19,103.235,F010, I'm just saying that if I was looking to hire somebody in the--or kind of... No. No. No.,neutral
Ses01M_impro04_,99.19,106.69,M011," Are you hiring? Wait, do you know of a job? Seriously, do you know, like do you know of anything though?  Like, oh please, do you know of anything?",Frustration
Ses01M_impro04_,104.73,116.885,F011, No.  I'm just saying though that if I was a person who was hiring somebody I-- --would not hire someone who was angerry or upset.,neutral
Ses01M_impro04_,110.43,112.21,M012, Yeah.,Frustration
Ses01M_impro04_,116.39,118.58,M013, I come across angerry?,Frustration
Ses01M_impro04_,118,119.79,F012, No.,neutral
Ses01M_impro04_,119.31,120.59,M014, What?,anger
Ses01M_impro04_,120.22,125.24,F013," Well, you know a little.  If you were to listen to--",neutral
Ses01M_impro04_,124,129.71,M015," Okay.  You're my friend you can tell me stuff.  You can tell me honestly stuff, okay?  Please.",Frustration
Ses01M_impro04_,128.79,131.74,F014, I just don't want you to fly off the handle.,neutral
Ses01M_impro04_,131.2094,136.86,M016," Okay, I'm not flying off the handle I don't think I'm flying off the handle here at all.",Frustration
Ses01M_impro04_,135.94,138.22,F015, You kind of have a short fuse.,neutral
Ses01M_impro04_,137.35,139.06,M017, I have a short fuse?,Frustration
Ses01M_impro04_,138.5,139.99,F016, Yeah.,neutral
Ses01M_impro04_,139.46,147.2,M018," Okay. Okay no, no, no, no okay no, I need to hear this more. Come on, bring it.",anger
Ses01M_impro04_,141.06,145.04,F017," Like this, right now we're trying have a conversation.",neutral
Ses01M_impro04_,145.21,153.05,F018, We're trying to have a conversation and you seem extremely hostile. You keep cutting me off.,neutral
Ses01M_impro04_,148.38,151.84,M019," Well, it's 'cause I can't get a job, okay?",xxx
Ses01M_impro04_,159.77,161.86,M020, I'm not always right I'm just--,Frustration
Ses01M_impro04_,153.75,157.795,F019, I can't finish the sentence with you without you jumping in...,neutral
Ses01M_impro04_,157.97,160.35,F020, ...and you're always right.,neutral
Ses01M_impro04_,161.95,163.61,M021, fine okay.,xxx
Ses01M_impro04_,162.17,164.99,F021, You have an excuse for everything.,neutral
Ses01M_impro04_,164.74,166.5275,M022, [BREATHING],Frustration
Ses01M_impro04_,166.29,172.94,F022, I'm just saying that maybe you should take in some information before you produce more of your own.,neutral
Ses01M_impro04_,172.34,178.643,M023, I'm like a sponge I'm like soaked up with all this information for like three years I'm just dying for a job to like put it in to.,anger
Ses01M_impro04_,178.1672,181.0057,F023, [BREATHING],neutral
Ses01M_impro04_,182.2975,183.86,F024, That's -.,Frustration
Ses01M_impro04_,182.88,186.445,M024," You know, and like I don't think it's that much to ask. I know.",Frustration
Ses01M_impro04_,186.3825,189.6225,F025," Well, what kind of field are you looking to go into?",neutral
Ses01M_impro04_,189.3,190.8275,M025, That's it.,neutral
Ses01M_impro05_,2.2687,4.32,F000, Can I help you?,neutral
Ses01M_impro05_,3.71,7.82,M000," Yes, please help me.  Where is my bag?",Frustration
Ses01M_impro05_,7.23,9.88,F001, I need a little more information.,neutral
Ses01M_impro05_,8.06,12.34,M001," Where is my bag?  Come on, I've been here for four hours.",Frustration
Ses01M_impro05_,10.1725,13.7,F002, What- What flight did you come in on?,neutral
Ses01M_impro05_,12.53,15.6575,M002," Okay, I'm coming in from Atlanta.",Frustration
Ses01M_impro05_,15.125,16.415,F003, Georgia?,neutral
Ses01M_impro05_,15.86,21.15,M003," Yes, Georgia.  Good for you I need my bag.  Can you...",xxx
Ses01M_impro05_,17.97,22.03,F004," There's no need for you to raise your voice, sir.",neutral
Ses01M_impro05_,22.2,25.06,F005, I've been college educated.,neutral
Ses01M_impro05_,25.1125,27.86,F006, I speak your langeruage.,neutral
Ses01M_impro05_,26.1923,31.08,M004, Are you insinuating that I don't have a college education and that- for some reason that makes you a better person than I am?,anger
Ses01M_impro05_,31.78,34.83,M005," Listen, shut your smug mouth, okay?  I don't need that.",anger
Ses01M_impro05_,30.5125,33.31,F007, I'm just saying you don't need to talk to me like I-,neutral
Ses01M_impro05_,34.85,37.67,M006, I've been sitting here for four hours.,anger
Ses01M_impro05_,34.42,36.41,F008, I'm not a child.,Frustration
Ses01M_impro05_,37.4,39.99,F009, I've been here for sixteen.,xxx
Ses01M_impro05_,37.715,41.47,M007, You people have just been tossing me around like a used hanky.,anger
Ses01M_impro05_,40.845,43.1575,F010, I come here every single day.,xxx
Ses01M_impro05_,42.835,46.02,M008, You work here.,anger
Ses01M_impro05_,45.67,49.92,F011," Details, Details.  Well, anyhow can I--",neutral
Ses01M_impro05_,49.92,52.31,F012, so you flew in from Atlanta...,neutral
Ses01M_impro05_,51.75,54.53,M009, My bag from Atlanta.,Frustration
Ses01M_impro05_,53.7075,56.24,F013, Four...Four hours ago.,neutral
Ses01M_impro05_,54.56,58.79,M010, It's a little black bag with wheels.,Frustration
Ses01M_impro05_,58.5,60.23,F014, Do you have any i-?,neutral
Ses01M_impro05_,58.82,63.4075,M011, That you wouldn't let me put in the overhead compartment.  You said I had to check it.,xxx
Ses01M_impro05_,61.48,67.48,F015, I wouldn't let you?   I was not in Atlanta. I was not in Atlanta.,neutral
Ses01M_impro05_,63.8375,66.22,M012, It's a tiny little bag.,xxx
Ses01M_impro05_,67.51,73.25,F016, I had nothing to do with the boarding attendance.  I'm sorry that your seat was wherever it was.,neutral
Ses01M_impro05_,72.76,84.05,M013," It was right in the middle of five different people.  I had a huge fat lady next me, a crying kid on left I went like can I please get a Bloody Mary, please? Will you bring a Bloody Mary?",xxx
Ses01M_impro05_,91.41,100.24,F017," I have some unfortunate news, uh, that your bag isn't going to be--",neutral
Ses01M_impro05_,100.24,102.86,F018, --arriving any time soon.,neutral
Ses01M_impro05_,84.29,91.75,M014," Just had a really, really stressful day, okay?  And I need my bag; can you please help me get my bag?",xxx
Ses01M_impro05_,102.92,106.17,F019, I'm really sorry to tell you this but...,neutral
Ses01M_impro05_,105.39,107.46,M015, Okay.,neutral
Ses01M_impro05_,107.93,114.19,F020, It's not.  I can offer you fifty dollars and a reimbursement gift cards for our airline...,neutral
Ses01M_impro05_,114.19,115.47,F021, ...and your future...,neutral
Ses01M_impro05_,113.68,117.49,M016," I'm sorry, wait a minute.  Are you saying I'm not going to get my bag at all?",xxx
Ses01M_impro05_,117.22,118.7,F022, No.,neutral
Ses01M_impro05_,118.24,120.07,M017, It's gone.,xxx
Ses01M_impro05_,119.6225,121.23,F023, Yes.,neutral
Ses01M_impro05_,121.43,125.61,M018, Where is it?  Where did it go?,Frustration
Ses01M_impro05_,125.2,127.13,F024, We've actually...,neutral
Ses01M_impro05_,125.71,129.6,M019, You mean did someone steal it? Do people steal bags?,xxx
Ses01M_impro05_,129.24,133.83,F025, They do as matter of fact.  We don't like to publicize it because,neutral
Ses01M_impro05_,133.83,136.87,F026, people wouldn't Fly our airline.,neutral
Ses01M_impro05_,134.9988,137.5,M020, Probably people that work for your company huh?,anger
Ses01M_impro05_,137.5,143.35,M021, Do you know what was in that little bag that I could have just easily put in overhead compartment but no I had to check?,anger
Ses01M_impro05_,142.65,144.12,F027, What was that?,neutral
Ses01M_impro05_,143.52,149.35,M022, My computer which has all of my data which I'm collecting right now.,anger
Ses01M_impro05_,148.72,150.76,F028, That's unfortunate.,neutral
Ses01M_impro05_,149.88,156.39,M023, Yeah it's really unfortunate you know why because I'm going to get fired if I don't get that.  So I need to have that back.,anger
Ses01M_impro05_,155.57,157.29,F029, That's too bad.,neutral
Ses01M_impro05_,156.46,159.96,M024," Fifty dollars is not going to cover me for my job, okay?",anger
Ses01M_impro05_,158.87,160.93,F030, I wish I could give it to you.,neutral
Ses01M_impro05_,160.02,167.01,M025, Well you need to find it. Can I just go back there and look through the bags?  Can I just go back there and just go through maybe I'll find it.,anger
Ses01M_impro05_,161.34,162.59,F031, I wish I-,neutral
Ses01M_impro05_,163.69,166.1,F032, That's not - no.,neutral
Ses01M_impro05_,166.37,167.6,F033, No.,neutral
Ses01M_impro05_,167.01,173.73,M026, It'll be a lot more than what you're doing sitting here and just give me lip service.  I'd like to go back at least do some aggressive searching for my stuff.,anger
Ses01M_impro05_,173.09,178.46,F034, We have plenty of aggressive searching going on it's not there.  Someone's taken it.,neutral
Ses01M_impro05_,175.2775,181.46,M027," Sure, yeah right you have plenty of aggressive searching going on, aggressive searching, drinking coffee and smoking cigarettes.",anger
Ses01M_impro05_,181.495,186.82,M028, I know what you guys do when you're not working you're union people; you just sit around on your ass.,anger
Ses01M_impro05_,186.33,190.02,F035, You know I don't need to take this sort of abuse.,Frustration
Ses01M_impro05_,189.42,198.34,M029," Well, I don't need to take this kind of abuse either.  I just was trying get back to Atlanta. I just got home, I just want to get my bag and get my stuff. And keep my job.",xxx
Ses01M_impro05_,192.91,194.75,F036, That's fantastic.,xxx
Ses01M_impro05_,194.9425,201.75,F037, Then why don't you take your fifty dollars. Get yourself a taxi and go shopping tomorrow.,xxx
Ses01M_impro05_,199.27,200.3975,M030, [BREATHING],Frustration
Ses01M_impro05_,201.2825,203.71,M031, Thank you very much.,anger
Ses01M_impro06_,10.0955,12.68,F000, You okay?,neutral
Ses01M_impro06_,12.4633,16.51,M000," Yeah, I'm just-- yeah",sad
Ses01M_impro06_,19.1808,22.89,M001," Just kind of feel numb, you know.",sad
Ses01M_impro06_,23.26,26.3875,F001, What's happened?,neutral
Ses01M_impro06_,25.7888,30.0906,M002, You didn't even hear?,sad
Ses01M_impro06_,31.76,35.36,M003, [BREATHING] Umm.,sad
Ses01M_impro06_,36.11,40,M004, God I've told this story so many times. Umm.,sad
Ses01M_impro06_,39.43,41.75,F002, You don't have to if you don't want to.,neutral
Ses01M_impro06_,41.22,44.6825,M005, I just...I just basically lost someone that was really close to me.,sad
Ses01M_impro06_,46.41,61.99,M006," And I've kind of been dealing with all of the...the stuff, you know the hospital and people work because...",sad
Ses01M_impro06_,61.86,64.65,F003, I'm sorry to hear that.,sad
Ses01M_impro06_,63.63,67.63,M007," He kind of didn't have anyone to take care of that for him, so--",sad
Ses01M_impro06_,67.277,70.12,F004, You've been taking care of it all?,sad
Ses01M_impro06_,70.205,72.2704,F005, Oh Jesus.,sad
Ses01M_impro06_,71.79,76.0581,M008, It's just really...really messed up.,sad
Ses01M_impro06_,76.5016,79.03,F006, He sick for awhile?,sad
Ses01M_impro06_,79.2956,82.6661,M009, No.,sad
Ses01M_impro06_,83.7526,87.234,M010, Just like it.,sad
Ses01M_impro06_,87.2562,89.47,F007, Was it an accident?,neutral
Ses01M_impro06_,89.295,95.89,M011," No, I mean it just came on really quick, you know I mean it was a [GARBAGE] it was a sickness but it just --",sad
Ses01M_impro06_,94.62,96.52,F008, how was sick?,neutral
Ses01M_impro06_,96.5029,97.96,M012, What?,sad
Ses01M_impro06_,97.45,101.42,F009," Well, I'm confused.  He was sick or it was an accident?",neutral
Ses01M_impro06_,100.6075,105.74,M013," He was sick. He got sick. He got sick but it happened really, really fast, you know.",sad
Ses01M_impro06_,101.5,105.8675,F010, Oh. Really fast? Oh.,neutral
Ses01M_impro06_,105.84,109.16,M014, It was kind of like boom... done,sad
Ses01M_impro06_,107.02,108.56,F011, Yeah.,neutral
Ses01M_impro06_,109.59,114.61,M015, It's just really weird because he was really young you know and it kind of like...,sad
Ses01M_impro06_,112.615,113.9775,F012, Yeah.,neutral
Ses01M_impro06_,115.9875,118.25,M016, --it just kind of freaks you out.,sad
