file_name,turn_name,start_time,end_time,text,emotion
Ses01F_impro02,F020,186.58,191.11,And I want lots and lots and lots of pictures.,Sadness
Ses01F_impro02,M016,195.1047,199.52,It's just not fair,Frustration
Ses01F_impro03,M000,3.24,5.46,So what's up?  What's new?,Neutral
Ses01F_impro03,F000,4.88,7.74,Well Vegas was awesome.,Happiness
Ses01F_impro03,M001,6.6,8.66,Yeah.  I heard,Neutral
Ses01F_impro03,F001,7.93,11.37,"And, um, I got married",Happiness
Ses01F_impro03,M002,10.53,13.84,Shut up.  No- in Vegas?,Surprise
Ses01F_impro03,F002,12.8,15.37,Yeah.  In the old town part.,Happiness
Ses01F_impro03,M003,14.93,18.9075,Who did you marry?,Excited
Ses01F_impro03,F003,15.87,20.4867,Chuck. [LAUGHTER],Happiness
Ses01F_impro03,M004,20.2532,22.83,Did you propose to you?,"Excited,Surprise,Happiness"
Ses01F_impro03,F004,21.75,25.52,Um- Yes.  It was very romantic.,Happiness
Ses01F_impro03,F005,25.5584,28.14,It was at the slot machines.,Happiness
Ses01F_impro03,M005,27.28,29.65,Oh.  The Wheel of Fortune slots?,"Excited,Surprise,Happiness"
Ses01F_impro03,F006,28.37,34.71,"Uhuh, uhuh.  He won big and he-and he realized that the only thing that would make it better was me as his bride.",Happiness
Ses01F_impro03,M006,34.25,36.34,He turned to you and was like...,Neutral
Ses01F_impro03,F007,40.1,35.6349,Hey.  Let's get married and I said okay.,Excited; Happiness
Ses01F_impro03,M007,37.7175,40.47,[LAUGHTER] That's really romantic.,Neutral
Ses01F_impro03,F008,40.12,42.79,"Yeah.  Well.  You know, because he's leaving the next day.",Happiness
Ses01F_impro03,M008,42.09,43.41,Yeah,Neutral
Ses01F_impro03,F009,42.84,44.54,But we're going to have a honeymoon cruise.,Happiness
Ses01F_impro03,M009,44.16,49.07,"Does that mean that you're going to get citizenship, too, in- in England or whatever?",Neutral
Ses01F_impro03,F010,47.87,51.075,Oh.  I hadn't even thought about that.,Happiness
Ses01F_impro03,M010,49.61,52.43,Yeah.  Think about that.,"Excited,Surprise,Happiness"
Ses01F_impro03,F011,51.36,53.4925,"He's not going to be a citizen, though","Neutral, Happiness"
Ses01F_impro03,M011,52.92,56.85,Yeah.  But he'll have like a long visa.  Can you go visit then for a long time?,Neutral
Ses01F_impro03,F012,55.865,58.15,Oh.  Totally.,Happiness
Ses01F_impro03,M012,57.46,61.375,"Oh, how are you going to do the long distance thing?  So wait, are you going to move there?","Excited,Surprise,Happiness"
Ses01F_impro03,F013,60.73,65.86,I guess I'll-  I guess I'll have an internet husband.[LAUGHTER],Happiness
Ses01F_impro03,M013,65.6425,68.44,Like you need another one of those.[LAUGHTER],Happiness
Ses01F_impro03,F014,68.01,73.75,I have an internet boyfriend.  I guess I'll have to juggle the two.  Is that cheating?  I don't know. Hmm.,Excited; Happiness
Ses01F_impro03,M014,73.41,76.9975,Is that your phone?,Happiness
Ses01F_impro03,F015,74.2675,78.8425,"Yeah, so [LAUGHTER] He's calling me now",Excited; Happiness
Ses01F_impro03,M015,78.32,80.5,He loves you,Happiness
Ses01F_impro03,F016,79.035,81.0875,"He likes to keep tabs, you know",Happiness
Ses01F_impro03,M016,80.7175,82.5225,How much did he win at the slot,Neutral
Ses01F_impro03,F017,82.0975,85.08,"Uh, I think seven hundred and fifty dollars",Neutral
Ses01F_impro03,M017,84.6925,87.36,Really? Penny slots?,Surprise
Ses01F_impro03,F018,85.1,88.0225,Penny slots. That's what he plays,Neutral
Ses01F_impro03,M018,87.6425,89.08,Wow,Surprise
Ses01F_impro03,F019,88.08,89.5,Yeah,Neutral
Ses01F_impro03,M019,89.12,93.91,I'm a big fan of the Wheel of Fortune quarters. But it just costs so much.  I don't know.,Neutral
Ses01F_impro03,F020,91.235,92.615,Oh.,"Neutral, Happiness,Surprise"
Ses01F_impro03,F021,92.75,98.21,Yeah.  We played Wheel of Fortune pennies.  It's like a giant thing with like,Happiness
Ses01F_impro03,M020,97.03,101.65,"But the pennies always get you because you end up spending like, you know, fifty bucks",Neutral
Ses01F_impro03,F022,99.7775,102.03,Fifty bucks. Mmhmm,Neutral
Ses01F_impro03,M021,101.67,104.35,"like, wait, but it's just pennies.  You're like, wait a minute I'm on to you.",Neutral
Ses01F_impro03,F023,102.62,103.4625,Yeah,Neutral
Ses01F_impro03,F024,103.78,108.1825,Well so now we're married. We have cat children.,Happiness
Ses01F_impro03,M022,105.29,106.95,Awesome,Excited
Ses01F_impro03,M023,107.71,111.4,[LAUGHTER] Cat babies,Happiness
Ses01F_impro03,F025,110.23,114.16,"We renamed Brenda, Lumber Janet",Happiness
Ses01F_impro03,M024,117.36,119.58,That's fair enough.,Neutral
Ses01F_impro03,F026,114.19,120.2,She needs a new name each state that we go into.,Happiness
